"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
0,25.1161168209508,0.801387044414933,162,32586,1,0.155037758154017
1,44.0721351613966,0.456384253197002,143,16381,0.882716049382716,0.272050217045658
2,60.7244110835026,0.330370824394729,130,10780,0.802469135802469,0.374842043725324
3,74.5316318218843,0.268924302788845,122,8235,0.753086419753086,0.460071801369656
4,67.1379624409073,0.297878254424164,86,6430,0.530864197530864,0.414431866919181
5,72.5684528809004,0.276024108693431,78,5404,0.481481481481481,0.447953412845064
6,87.8816189988246,0.228124538881511,81,4638,0.5,0.542479129622374
7,83.4156813302893,0.241504569955472,68,4122,0.419753086419753,0.514911613149934
8,107.673483656703,0.187664924716718,77,3627,0.475308641975309,0.664651133683354
9,57.2402044293015,0.350597609561753,35,3080,0.216049382716049,0.353334595242602
10,69.8108047634438,0.289100010215548,39,2830,0.240740740740741,0.430930893601505
11,69.7655640190563,0.284639220894201,36,2572,0.222222222222222,0.430651629747261
12,63.1999515709183,0.3179008105509,29,2314,0.179012345679012,0.390123157845175
13,116.840966462315,0.171757414785303,54,2328,0.333333333333333,0.721240533717995
14,68.089705485004,0.292117245304496,28,2053,0.172839506172839,0.420306823981506
15,49.6534602255095,0.40796812749004,20,2048,0.123456790123457,0.306502840898207
16,82.8867452661665,0.247561478225031,29,1802,0.179012345679012,0.511646575717077
17,121.832096296581,0.164342629482072,44,1815,0.271604938271605,0.75204997713939
18,75.2556237218814,0.267278711241989,23,1543,0.141975308641975,0.464540887172107
19,10.1242090461683,2.02788844621514,3,1527,0.0185185185185185,0.0624951175689399
20,45.674928632924,0.437108708025043,14,1536,0.0864197530864197,0.281944003906938
0,22.9243127654173,0.877140088295467,148,32584,1,0.154894005171739
1,38.5508314129308,0.521370517928287,125,16358,0.844594594594595,0.260478590627911
2,56.9413473007312,0.351707922408726,122,10770,0.824324324324324,0.384738833113049
3,65.5704218159534,0.305953755073165,107,8217,0.722972972972973,0.443043390648334
4,66.331396861181,0.301335833138036,85,6429,0.574324324324324,0.448185113926898
5,68.1827026606302,0.294438683621678,73,5395,0.493243243243243,0.46069393689615
6,73.3532023599538,0.275197716596301,67,4628,0.452702702702703,0.495629745675363
7,50.561797752809,0.3981148576426,41,4097,0.277027027027027,0.341633768600061
8,45.4662062160829,0.446090637450199,32,3583,0.216216216216216,0.307204096054614
9,73.6983372381321,0.273483842408145,45,3089,0.304054054054054,0.497961738095487
10,83.532867616203,0.240569636348224,47,2838,0.317567567567568,0.564411267677047
11,74.7398038626492,0.26965820926819,38,2572,0.256756756756757,0.50499867474763
12,81.6107382550336,0.24344726357727,38,2322,0.256756756756757,0.551423907128605
13,44.3349753694581,0.458366533864542,20,2301,0.135135135135135,0.299560644388231
14,76.8974033776117,0.256723107569721,32,2062,0.216216216216216,0.519577049848727
15,66.9098919253803,0.302936402537996,27,2053,0.182432432432432,0.452093864360678
16,36.8402408784981,0.548881397486975,13,1791,0.0878378378378378,0.248920546476338
17,46.2539147193447,0.445717131474104,16,1790,0.108108108108108,0.312526450806383
18,112.716375184506,0.176892430278884,35,1554,0.236486486486486,0.76159712962504
19,90.5253704535249,0.219977233921457,28,1546,0.189189189189189,0.611657908469763
20,45.5593220338983,0.436824132043256,14,1535,0.0945945945945946,0.307833256985799
0,18.254114434922,1.1090339496714,117,32569,1,0.156018072093351
1,29.5191486056086,0.685175089117215,95,16338,0.811965811965812,0.252300415432552
2,45.2095651718905,0.446630146082337,96,10762,0.82051282051282,0.386406539930688
3,49.1971301674069,0.40851593625498,80,8203,0.683760683760684,0.420488292029119
4,42.042174382478,0.481320003006841,53,6403,0.452991452991453,0.359334823781863
5,58.1378690595575,0.346613545816733,62,5394,0.52991452991453,0.496904863756901
6,55.9261628438271,0.360753066166706,51,4618,0.435897435897436,0.478001391827582
7,65.7434180490032,0.303452855245684,54,4113,0.461538461538462,0.561909555974386
8,59.349976448422,0.341206602162777,42,3597,0.358974358974359,0.507264755969419
9,34.917555771096,0.582242458736483,21,3069,0.179487179487179,0.298440647616205
10,25.6130097827468,0.797951052931133,14,2804,0.11965811965812,0.21891461352775
11,55.3253382365048,0.365253272623791,28,2567,0.239316239316239,0.472866138773546
12,15.6061309800279,1.30506545247581,7,2293,0.0598290598290598,0.133385734872033
13,30.9525271755819,0.654240182128628,14,2299,0.11965811965812,0.264551514321213
14,69.510050684412,0.293113261240751,28,2060,0.239316239316239,0.594102997302666
15,43.6996324645109,0.453297919433378,18,2048,0.153846153846154,0.373501132175307
16,5.74781463297809,3.54183266932271,2,1778,0.0170940170940171,0.0491266207946845
17,62.9120660894432,0.325787758058674,22,1799,0.188034188034188,0.537709966576437
18,35.8371040723982,0.555595798623687,11,1534,0.094017094017094,0.306300034806822
19,16.7371797852062,1.21832669322709,5,1529,0.0427350427350427,0.143052818676976
20,45.9476707083599,0.437677859988617,14,1538,0.11965811965812,0.392715134259487
0,22.7278284742522,0.9137534369564,142,32568,1,0.160055130100368
1,41.9428581515839,0.494144633586865,132,16372,0.929577464788732,0.295372240504112
2,57.840229754246,0.357602921646746,120,10771,0.845070422535211,0.407325561649619
3,76.6719620131627,0.26908758408987,122,8240,0.859154929577465,0.539943394458892
4,59.9217238742184,0.345429094433079,74,6416,0.52112676056338,0.4219839709452
5,82.1536134587573,0.250671731677939,86,5411,0.605633802816901,0.578546573653221
6,64.3219860823773,0.322639267491438,57,4616,0.401408450704225,0.452971732974488
7,96.8265888886948,0.213949397216329,77,4135,0.542253521126761,0.681877386540105
8,107.206670637284,0.192297476759628,75,3620,0.528169014084507,0.754976553783691
9,45.7551721703109,0.453297919433378,27,3072,0.190140845070423,0.322219522326133
10,84.8686739269699,0.245106530400139,46,2830,0.323943661971831,0.597666717795563
11,90.5584437363743,0.228419654714475,45,2580,0.316901408450704,0.637735519270242
12,42.8021651387629,0.483120150975047,19,2304,0.133802816901408,0.301423698160302
13,53.588041927681,0.382470119521912,24,2304,0.169014084507042,0.3773805769555
14,85.8014089937261,0.241738926646356,34,2063,0.23943661971831,0.604235274603705
15,92.7156927574566,0.222569182728545,37,2067,0.26056338028169,0.652927413784905
16,20.8212839791787,1.01479795105293,7,1783,0.0492957746478873,0.146628760416752
17,133.274314916905,0.157283907846873,46,1816,0.323943661971831,0.938551513499329
18,59.8531381332841,0.341301460823373,18,1542,0.126760563380282,0.421500972769606
19,13.5599604501154,1.52091633466135,4,1527,0.028169014084507,0.0954926792261645
20,96.4300558814021,0.212254430553647,29,1545,0.204225352112676,0.679084900573254
0,18.6569984258158,1.08120849933599,120,32566,1,0.155474986881798
1,31.8756608525966,0.632228368081074,103,16345,0.858333333333333,0.265630507104971
2,45.0172917982819,0.44613213811421,96,10750,0.8,0.375144098319016
3,55.2891588880736,0.363346613545817,90,8208,0.75,0.460742990733946
4,62.2905578553124,0.323667355892884,79,6418,0.658333333333333,0.519087982127604
5,44.2150650029398,0.455963380520471,47,5379,0.391666666666667,0.368458875024499
6,61.2551843580511,0.32875640295959,56,4621,0.466666666666667,0.510459869650426
7,53.6385493210525,0.371604491126403,44,4104,0.366666666666667,0.44698791100877
8,18.5243825205826,1.09316579834508,13,3567,0.108333333333333,0.154369854338189
