"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
0,25.1161168209508,0.801387044414933,162,32586,1,0.155037758154017
1,44.0721351613966,0.456384253197002,143,16381,0.882716049382716,0.272050217045658
2,60.7244110835026,0.330370824394729,130,10780,0.802469135802469,0.374842043725324
3,74.5316318218843,0.268924302788845,122,8235,0.753086419753086,0.460071801369656
4,67.1379624409073,0.297878254424164,86,6430,0.530864197530864,0.414431866919181
5,72.5684528809004,0.276024108693431,78,5404,0.481481481481481,0.447953412845064
6,87.8816189988246,0.228124538881511,81,4638,0.5,0.542479129622374
7,83.4156813302893,0.241504569955472,68,4122,0.419753086419753,0.514911613149934
8,107.673483656703,0.187664924716718,77,3627,0.475308641975309,0.664651133683354
9,57.2402044293015,0.350597609561753,35,3080,0.216049382716049,0.353334595242602
10,69.8108047634438,0.289100010215548,39,2830,0.240740740740741,0.430930893601505
11,69.7655640190563,0.284639220894201,36,2572,0.222222222222222,0.430651629747261
12,63.1999515709183,0.3179008105509,29,2314,0.179012345679012,0.390123157845175
13,116.840966462315,0.171757414785303,54,2328,0.333333333333333,0.721240533717995
14,68.089705485004,0.292117245304496,28,2053,0.172839506172839,0.420306823981506
15,49.6534602255095,0.40796812749004,20,2048,0.123456790123457,0.306502840898207
16,82.8867452661665,0.247561478225031,29,1802,0.179012345679012,0.511646575717077
17,121.832096296581,0.164342629482072,44,1815,0.271604938271605,0.75204997713939
18,75.2556237218814,0.267278711241989,23,1543,0.141975308641975,0.464540887172107
19,10.1242090461683,2.02788844621514,3,1527,0.0185185185185185,0.0624951175689399
20,45.674928632924,0.437108708025043,14,1536,0.0864197530864197,0.281944003906938
